id;product_reference;description;picture_path;ean13;reservation_cost;brand;sub_category;invoice;current_state
965;SN torche tungsten-12;;;831212;;;Eclairage studio;;
966;SN torche tungsten-13;;;831213;;;Eclairage studio;;
967;SN torche tungsten-14;;;831214;;;Eclairage studio;;
968;SN torche tungsten-15;;;831215;;;Eclairage studio;;
969;SN torche tungsten-16;;;831216;;;Eclairage studio;;
970;SN torche tungsten-17;;;831217;;;Eclairage studio;;
971;SN torche tungsten-18;;;831218;;;Eclairage studio;;
972;SN torche tungsten-19;;;831219;;;Eclairage studio;;
973;SN torche tungsten-20;;;831220;;;Eclairage studio;;
974;Bowens generateur Quad-1;;;831301;;;Eclairage studio;;
975;Bowens generateur Quad-2;;;831302;;;Eclairage studio;;
976;Bowens monobloc prolite 100-1;;;831401;;;Eclairage studio;;
977;Bowens monobloc prolite 100-2;;;831402;;;Eclairage studio;;
978;Bowens monobloc prolite 82-1;;;831501;;;Eclairage studio;;
979;Bowens torche Mono 400D-1;;;831601;;;Eclairage studio;;
980;Bowens torche Monosilver-1;;;831701;;;Eclairage studio;;
981;Broncolor torche 1600J-1;;;831801;;;Eclairage studio;;
982;Broncolor torche 1600J-2;;;831802;;;Eclairage studio;;
983;Broncolor generateur  -1;;;831901;;;Eclairage studio;;
