purchase_date;purchase_cost;annual_depreciation_rate;phase_number;description
31/12/2011;2333,16;25,00;0000000735;KIT PREMIUM SKYLITE
31/12/2011;378,85;25,00;0000000736;TABLE SPORT 250
18/01/2012;1032,29;33,33;0000000737;PC ACER ASPIRE S3-951-2464G52
11/01/2012;189,85;100,00;0000000738;CADDY LIFE TADI 105CH 5P
31/01/2012;1900;50,00;0000000740;Chambre Sinar P arrière P2
31/01/2012;1300;50,00;0000000744;Chambre Sinar F
31/01/2012;100;50,00;0000000745;Valise
31/01/2012;100;50,00;0000000746;Soufflet 13x18
31/01/2012;100;50,00;0000000747;Dos 6x7
31/01/2012;600;50,00;0000000748;Objectif Schneider super Angulon 8/
31/01/2012;600;50,00;0000000749;Objectif Schneider super Angulon 8/
31/01/2012;500;50,00;0000000750;Objectif Schneider Symar 5.6/150
31/01/2012;500;50,00;0000000751;Objectif Schneider Symar 5.6/240
31/01/2012;500;50,00;0000000752;Objectif Rodenstock aporonar 9/360
31/01/2012;800;50,00;0000000753;Pied colonne 2.50m
14/12/2012;342,65;25,00;0000000754;Trihap trigger télécommande
14/12/2012;1240,25;25,00;0000000755;Murast Emetteur radio
14/12/2012;400,66;25,00;0000000756;Ribus cone avec nid d'abeille
14/12/2012;15168,27;25,00;0000000757;X10A Flash X10 Hybrid 1000W/S
14/12/2012;861,12;25,00;0000000758;3800 Pied key stand sections noir
14/12/2012;727,17;25,00;0000000759;Lukla1 cloche pirex de protection
14/12/2012;959,79;25,00;0000000760;Rinos93 réflecteur std 27cm
14/12/2012;822,25;25,00;0000000761;RIGLAM90 Boite à lumière
14/12/2012;1207,96;25,00;0000000762;Ribrol parapluie super brolly 150 c
19/12/2012;7184,97;25,00;0000000763;X10A flash x10 hybrid 1000 w/s
19/12/2012;727,17;25,00;0000000764;Lukla1 cloche pirex de protection
19/12/2012;1028,56;25,00;0000000765;Digipro F2 Flashmetre posemetre
14/12/2012;3812,25;25,00;0000000766;058B Trépied triaut noir
01/07/2012;2078,95;25,00;0000000767;229 Rotule super 3D
19/07/2012;1500;50,00;0000000768;Agrandisseurs
19/09/2012;750;50,00;0000000769;Objectifs
19/07/2012;750;50,00;0000000770;Autoples et différents fonds
30/11/2012;1596,66;25,00;0000000771;X10A Flash x10
30/11/2012;76,55;25,00;0000000772;LUKLA1 Cloche pirex
30/11/2012;228,43;25,00;0000000773;Trihap tigger télécommande r
30/11/2012;218,87;25,00;0000000774;Murast émetteur radio
30/11/2012;861,12;25,00;0000000775;3800 Pied Key stand
13/09/2012;1783,23;25,00;0000000776;Chaise color T6 Assise hetre rouge
04/10/2012;363,58;25,00;0000000777;Chaise conference eco noire
04/10/2012;109,46;25,00;0000000778;Table eco 140x70
04/10/2012;184,92;25,00;0000000779;Tabke étudiant 80x60 gris bleu
04/10/2012;333,85;25,00;0000000780;Ecran mural manuel oray 200x200
04/10/2012;352,28;25,00;0000000781;Tableau blanc émaillé 150 x 100
07/09/2012;1308,6;25,00;0000000782;Whiteboard pro series 90x150
11/10/2012;983,78;25,00;0000000783;Table Etudiant 140x60
30/11/2012;249,36;25,00;0000000784;Rouleau fond papier BD Superwhite
30/11/2012;249,37;25,00;0000000785;Rouleau fond papier BD black
31/07/2012;7172,91;33,33;0000000786;PC Précision T3600 Nséries 425w
13/08/2012;6598,33;100,00;0000000787;Licence Adobe cs6 désign standard
27/07/2012;1691,29;33,33;0000000788;Power connect 2824
02/08/2012;307,44;33,33;0000000789;"rail de montage 19"""
23/08/2012;157,51;33,33;0000000790;Card reader 19
01/07/2012;3305,46;25,00;0000000792;AUTOLAVEUSE S43B BATTERIE
12/09/2012;91947,29;10,00;0000000795;Lot N° 9 Metallie FAUR
01/09/2012;827,4;50,00;0000000802;Matériel Photo Toli Glaceuse priox
14/08/2013;1309,8;33,33;0000000804;PC TOUR DELL H674KY1
14/08/2013;1309,8;33,33;0000000805;PC TOUR DELL 6174KY1
14/08/2013;1309,8;33,33;0000000806;PC TOUR DELL H874KY1
14/08/2013;1309,8;1 200,00;0000000807;PC TOUR DELL F474KY1
14/08/2013;1309,8;33,33;0000000808;PC TOUR DELL 1674KY1
14/08/2013;1309,8;33,33;0000000809;PC TOUR DELL 1B74KY1
14/08/2013;1309,8;33,33;0000000810;PC TOUR DELL 8X64KY1
14/08/2013;1309,8;33,33;0000000811;PC TOUR DELL G274KY1
14/08/2013;1309,8;33,33;0000000812;PC TOUR DELL JY64KY1
14/08/2013;1309,8;33,33;0000000813;PC TOUR DELL DC74KY1
14/08/2013;1309,8;33,33;0000000814;PC TOUR DELL 1074KY1
14/08/2013;1309,8;33,33;0000000815;PC TOUR DELL FB74KY1
14/08/2013;1309,8;33,33;0000000816;PC TOUR DELL 8F74KY1
14/08/2013;2220,26;33,33;0000000817;"ECRAN E1913 48CM 19"" led"
15/01/2014;2312,05;25,00;0000000818;HOTTE ASPIRATION
24/02/2014;312;25,00;0000000819;MICRO SENNHEISER MKE 400
24/02/2014;540,72;25,00;0000000820;MICRO AUDIOTECHNICA AT 899 + CABLES
24/02/2014;1135,81;33,33;0000000821;IMPRIMANTE EPSON STYLUS PRO 3880
06/03/2014;1036,25;33,33;0000000822;DDur  WESTERN DIGITAL AV GP 2TO PNY
31/03/2014;600;50,00;0000000823;SINAR P 4X5 +F1 PLATINE PHASE ONE
27/03/2014;2;100,00;0000000824;ECRANS BARCO
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
